OriginalName,Organizations,Type,CleanName,CleanNameNoMiddle,IsDuplicate
"Hall, Leonard M.",Veterans Review and Appeal Board,Govenor In Council Appointments,"Hall, Leonard","Hall, Leonard",FALSE
"Henley, David G.",Transportation Appeal Tribunal of Canada,Govenor In Council Appointments,"Henley, David","Henley, David",FALSE
"Hiebert, Jacob H.",Parole Board of Canada,Govenor In Council Appointments,"Hiebert, Jacob","Hiebert, Jacob",FALSE
"Hodgkiss, Pauline B.",Parole Board of Canada,Govenor In Council Appointments,"Hodgkiss, Pauline","Hodgkiss, Pauline",FALSE
"Horcher, Karen A.",Pacific Pilotage Authority,Govenor In Council Appointments,"Horcher, Karen","Horcher, Karen",FALSE
"Hummell, Douglas M.",Parole Board of Canada,Govenor In Council Appointments,"Hummell, Douglas","Hummell, Douglas",FALSE
"Jarmyn, Thomas W.",Veterans Review and Appeal Board,Govenor In Council Appointments,"Jarmyn, Thomas","Jarmyn, Thomas",FALSE
"Jaworski, John G.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"Jaworski, John","Jaworski, John",FALSE
"Katkin, Steven B.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"Katkin, Steven","Katkin, Steven",FALSE
"Kaye, Thomas J.",Parole Board of Canada,Govenor In Council Appointments,"Kaye, Thomas","Kaye, Thomas",FALSE
"Knox, Kenneth W.","Science, Technology and Innovation Council",Govenor In Council Appointments,"Knox, Kenneth","Knox, Kenneth",FALSE
"Kobernick, Carolyn P.",Patented Medicine Prices Review Board,Govenor In Council Appointments,"Kobernick, Carolyn","Kobernick, Carolyn",FALSE
"LaPointe, Joel W.",Payments in lieu of Taxes Dispute Advisory Panel,Govenor In Council Appointments,"LaPointe, Joel","LaPointe, Joel",FALSE
"Leard, Jeffrey H.",Payments in lieu of Taxes Dispute Advisory Panel,Govenor In Council Appointments,"Leard, Jeffrey","Leard, Jeffrey",FALSE
"Leclair, Connie A.",Parole Board of Canada,Govenor In Council Appointments,"Leclair, Connie","Leclair, Connie",FALSE
"Longworth, Thomas J.",Vancouver Fraser Port Authority,Govenor In Council Appointments,"Longworth, Thomas","Longworth, Thomas",FALSE
"MacKinnon, William A.",Public Sector Pension Investment Board,Govenor In Council Appointments,"MacKinnon, William","MacKinnon, William",FALSE
"MacMillan, Mitchell F.",Parole Board of Canada,Govenor In Council Appointments,"MacMillan, Mitchell","MacMillan, Mitchell",FALSE
"MacNab, Elizabeth A.",Transportation Appeal Tribunal of Canada,Govenor In Council Appointments,"MacNab, Elizabeth","MacNab, Elizabeth",FALSE
"Mallory, Stephen J.",VIA Rail Canada Inc.,Govenor In Council Appointments,"Mallory, Stephen","Mallory, Stephen",FALSE
"McElveny, Derek V.",Parole Board of Canada,Govenor In Council Appointments,"McElveny, Derek","McElveny, Derek",FALSE
"McNamara, Michael F.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"McNamara, Michael","McNamara, Michael",FALSE
"McNeil, Christopher J.",Veterans Review and Appeal Board,Govenor In Council Appointments,"McNeil, Christopher","McNeil, Christopher",FALSE
"McQueen, Mark R.","Toronto Port Authority,?Windsor-Detroit Bridge Authority",Govenor In Council Appointments,"McQueen, Mark","McQueen, Mark",FALSE
"Morrison, John H.",Veterans Review and Appeal Board,Govenor In Council Appointments,"Morrison, John","Morrison, John",FALSE
"Mullan, Brian J.",Parole Board of Canada,Govenor In Council Appointments,"Mullan, Brian","Mullan, Brian",FALSE
"Mungovan, David J.T.",Immigration and Refugee Board,Govenor In Council Appointments,"Mungovan, David","Mungovan, David",FALSE
"Nettie, Scott W.",Parole Board of Canada,Govenor In Council Appointments,"Nettie, Scott","Nettie, Scott",FALSE
"O'Dea, Niall R.",Permanent Engineering Board,Govenor In Council Appointments,"O'Dea, Niall","O'Dea, Niall",FALSE
"Obermeyer, Kevin G.",Pacific Pilotage Authority,Govenor In Council Appointments,"Obermeyer, Kevin","Obermeyer, Kevin",FALSE
"Parrent, Damian J.",Parole Board of Canada,Govenor In Council Appointments,"Parrent, Damian","Parrent, Damian",FALSE
"Paulson, Robert W.",Royal Canadian Mounted Police,Govenor In Council Appointments,"Paulson, Robert","Paulson, Robert",FALSE
"Pennycook, Carol D.",PPP Canada Inc.,Govenor In Council Appointments,"Pennycook, Carol","Pennycook, Carol",FALSE
"Poirier, Robert D.",Toronto Port Authority,Govenor In Council Appointments,"Poirier, Robert","Poirier, Robert",FALSE
"Polowek, Kim H.",Parole Board of Canada,Govenor In Council Appointments,"Polowek, Kim","Polowek, Kim",FALSE
"Raymond, Richard A.",Standards Council of Canada,Govenor In Council Appointments,"Raymond, Richard","Raymond, Richard",FALSE
"Ross, William C.",Royal Canadian Mint,Govenor In Council Appointments,"Ross, William","Ross, William",FALSE
"Sandala, George M.",Windsor Port Authority,Govenor In Council Appointments,"Sandala, George","Sandala, George",FALSE
"Sanford, Mike W.",Parole Board of Canada,Govenor In Council Appointments,"Sanford, Mike","Sanford, Mike",FALSE
"Shea, Goldie M.",Parole Board of Canada,Govenor In Council Appointments,"Shea, Goldie","Shea, Goldie",FALSE
"Siemens, Raymond G.",Social Sciences and Humanities Research Council,Govenor In Council Appointments,"Siemens, Raymond","Siemens, Raymond",FALSE
"Silbernagel, Harvey A.",Parole Board of Canada,Govenor In Council Appointments,"Silbernagel, Harvey","Silbernagel, Harvey",FALSE
"Slade, Harry A.",Specific Claims Tribunal,Govenor In Council Appointments,"Slade, Harry","Slade, Harry",FALSE
"Stoney, Robert M.",Parole Board of Canada,Govenor In Council Appointments,"Stoney, Robert","Stoney, Robert",FALSE
"Summerville, Tracy L.",Social Sciences and Humanities Research Council,Govenor In Council Appointments,"Summerville, Tracy","Summerville, Tracy",FALSE
"Vincent, Robert G.",Payments in lieu of Taxes Dispute Advisory Panel,Govenor In Council Appointments,"Vincent, Robert","Vincent, Robert",FALSE
"Wesolowski, Frederick N.",Parole Board of Canada,Govenor In Council Appointments,"Wesolowski, Frederick","Wesolowski, Frederick",FALSE
"Wheatley, William M.",VIA Rail Canada Inc.,Govenor In Council Appointments,"Wheatley, William","Wheatley, William",FALSE
KPMG LLP (Calgary),Canada Development Investment Corporation,Govenor In Council Appointments,KPMG LLP,KPMG LLP,FALSE
KPMG LLP (Ottawa),"Canada Development Investment Corporation,Canadian Egg Marketing Agency,?PPP Canada Inc.",Govenor In Council Appointments,KPMG LLP,KPMG LLP,FALSE
KPMG LLP (Toronto),Canada Post Corporation,Govenor In Council Appointments,KPMG LLP,KPMG LLP,FALSE
Deloitte LLP (Ottawa),Bank of Canada,Govenor In Council Appointments,Deloitte LLP,Deloitte LLP,FALSE
"Scott, Wesley (Wes)",Bank of Canada,Govenor In Council Appointments,"Scott, Wesley","Scott, Wesley",FALSE
"Stoneman, J.S. (Jim)",Atlantic Pilotage Authority,Govenor In Council Appointments,"Stoneman, Jim","Stoneman, Jim",FALSE
"Acheson, Jeannette F.",Canadian Museum for Human Rights,Govenor In Council Appointments,"Acheson, Jeannette","Acheson, Jeannette",FALSE
"Alway, Richard M.",Historic Sites and Monuments Board of Canada,Govenor In Council Appointments,"Alway, Richard","Alway, Richard",FALSE
"Anthony, Edward F.",Atlantic Pilotage Authority,Govenor In Council Appointments,"Anthony, Edward","Anthony, Edward",FALSE
"Barnes, Robert L.",Competition Tribunal,Govenor In Council Appointments,"Barnes, Robert","Barnes, Robert",FALSE
"Benoit, Allan D.",National Gallery of Canada,Govenor In Council Appointments,"Benoit, Allan","Benoit, Allan",FALSE
"Blair, Robert A.",Copyright Board,Govenor In Council Appointments,"Blair, Robert","Blair, Robert",FALSE
"Bobkowicz, Andrea T.",Canadian Museum of History,Govenor In Council Appointments,"Bobkowicz, Andrea","Bobkowicz, Andrea",FALSE
"Boryskavich, Krista L.",Freshwater Fish Marketing Corporation,Govenor In Council Appointments,"Boryskavich, Krista","Boryskavich, Krista",FALSE
"Bos, Henricus M.",Canadian Dairy Commission,Govenor In Council Appointments,"Bos, Henricus","Bos, Henricus",FALSE
"Bosveld, Edward J.",Immigration and Refugee Board,Govenor In Council Appointments,"Bosveld, Edward","Bosveld, Edward",FALSE
"Bozak, Kimberley M.",National Arts Centre Corporation,Govenor In Council Appointments,"Bozak, Kimberley","Bozak, Kimberley",FALSE
"Brooks, Robert L.",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Brooks, Robert","Brooks, Robert",FALSE
"Broomfield Letemplier, Hilda J.",National Aboriginal Economic Development Board,Govenor In Council Appointments,"Broomfield Letemplier, Hilda","Broomfield Letemplier, Hilda",FALSE
"Chabot, Steven W.",Military Police Complaints Commission,Govenor In Council Appointments,"Chabot, Steven","Chabot, Steven",FALSE
"Clarkson, John A.",Canadian Transportation Accident Investigation and Safety Board,Govenor In Council Appointments,"Clarkson, John","Clarkson, John",FALSE
"Cournoyea, Nellie J.",Canadian High Arctic Research Station,Govenor In Council Appointments,"Cournoyea, Nellie","Cournoyea, Nellie",FALSE
"Crampton, Paul S.",Competition Tribunal,Govenor In Council Appointments,"Crampton, Paul","Crampton, Paul",FALSE
"Crowhurst, Timothy J.",Immigration and Refugee Board,Govenor In Council Appointments,"Crowhurst, Timothy","Crowhurst, Timothy",FALSE
"Cryer, Thomas W.",Canada Post Corporation,Govenor In Council Appointments,"Cryer, Thomas","Cryer, Thomas",FALSE
"Davies, Philip H.",National Energy Board,Govenor In Council Appointments,"Davies, Philip","Davies, Philip",FALSE
"Delisle, Margaret F.",National Battlefields Commission,Govenor In Council Appointments,"Delisle, Margaret","Delisle, Margaret",FALSE
"Dolhai, George G.",Office of the Director of Public Prosecutions,Govenor In Council Appointments,"Dolhai, George","Dolhai, George",FALSE
"Dolin, Benjamin R.",Immigration and Refugee Board,Govenor In Council Appointments,"Dolin, Benjamin","Dolin, Benjamin",FALSE
"Donahue, Chantelle A.",National Farm Products Council,Govenor In Council Appointments,"Donahue, Chantelle","Donahue, Chantelle",FALSE
"Emerson, David L.",Asia-Pacific Foundation of Canada,Govenor In Council Appointments,"Emerson, David","Emerson, David",FALSE
"Fast, Russell J.",Freshwater Fish Marketing Corporation,Govenor In Council Appointments,"Fast, Russell","Fast, Russell",FALSE
"Favreau, Leonard D.",Immigration and Refugee Board,Govenor In Council Appointments,"Favreau, Leonard","Favreau, Leonard",FALSE
"Fenske, Allan F.",Military Grievances External Review Committee,Govenor In Council Appointments,"Fenske, Allan","Fenske, Allan",FALSE
"Fiorino, Pasquale A.",Immigration and Refugee Board,Govenor In Council Appointments,"Fiorino, Pasquale","Fiorino, Pasquale",FALSE
"Fitzpatrick, Gerard J.",Canada Revenue Agency,Govenor In Council Appointments,"Fitzpatrick, Gerard","Fitzpatrick, Gerard",FALSE
"Forbes, Cathryn L.",Immigration and Refugee Board,Govenor In Council Appointments,"Forbes, Cathryn","Forbes, Cathryn",FALSE
"Gannicott, Robert A.",Canadian High Arctic Research Station,Govenor In Council Appointments,"Gannicott, Robert","Gannicott, Robert",FALSE
"Garfield, Matthew D.",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Garfield, Matthew","Garfield, Matthew",FALSE
"Goldberg, Michael A.",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Goldberg, Michael","Goldberg, Michael",FALSE
"Goldstein, David F.",Canadian Tourism Commission,Govenor In Council Appointments,"Goldstein, David","Goldstein, David",FALSE
"Goluch, Robert Z.",Competition Tribunal,Govenor In Council Appointments,"Goluch, Robert","Goluch, Robert",FALSE
"Guitton, Maurice M.",National Research Council of Canada,Govenor In Council Appointments,"Guitton, Maurice","Guitton, Maurice",FALSE
"Halldorson, Norman G.",Canada Revenue Agency,Govenor In Council Appointments,"Halldorson, Norman","Halldorson, Norman",FALSE
"Hannan, Michael M.",Canadian Tourism Commission,Govenor In Council Appointments,"Hannan, Michael","Hannan, Michael",FALSE
"Hawkrigg, Melvin M.",Hamilton Port Authority,Govenor In Council Appointments,"Hawkrigg, Melvin","Hawkrigg, Melvin",FALSE
"Henderson, David L.",Halifax Port Authority,Govenor In Council Appointments,"Henderson, David","Henderson, David",FALSE
"Henley, Stephen J.",Canadian Museum of Nature,Govenor In Council Appointments,"Henley, Stephen","Henley, Stephen",FALSE
"Hill, Kimberley G.",National Farm Products Council,Govenor In Council Appointments,"Hill, Kimberley","Hill, Kimberley",FALSE
"Hopkins, Nancy E.",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Hopkins, Nancy","Hopkins, Nancy",FALSE
"Hungerford, George W.",North Pacific Anadromous Fish Commission,Govenor In Council Appointments,"Hungerford, George","Hungerford, George",FALSE
"Hyndman, Douglas M.",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Hyndman, Douglas","Hyndman, Douglas",FALSE
"Ivany, Raymond E.",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"Ivany, Raymond","Ivany, Raymond",FALSE
